consumer_id,region_id,node_id,start_date,end_date,consumer_id,transaction_date,transaction_type,transaction_amount,region_code,region_name,churn
312,5,2,2020-04-24,2021-12-31,312,2020-04-24,deposit,485.0,5,Africa,churned
312,5,4,2020-04-01,2020-04-23,312,2020-04-01,deposit,485.0,5,Africa,active
312,5,3,2020-03-16,2020-03-31,312,2020-03-16,deposit,485.0,5,Africa,active
312,5,4,2020-02-21,2020-03-15,312,2020-02-21,deposit,485.0,5,Africa,active
312,5,5,2020-02-09,2020-02-20,312,2020-02-09,deposit,485.0,5,Africa,active
312,5,2,2020-02-08,2020-02-08,312,2020-02-08,deposit,485.0,5,Africa,active
312,5,3,2020-01-20,2020-02-07,312,2020-01-20,deposit,485.0,5,Africa,active
376,5,1,2020-04-16,2021-12-31,376,2020-04-16,deposit,706.0,5,Africa,churned
376,5,1,2020-04-02,2020-04-15,376,2020-04-02,deposit,706.0,5,Africa,active
376,5,2,2020-03-15,2020-04-01,376,2020-03-15,deposit,706.0,5,Africa,active
376,5,2,2020-02-14,2020-03-14,376,2020-02-14,deposit,706.0,5,Africa,active
376,5,4,2020-02-02,2020-02-13,376,2020-02-02,deposit,706.0,5,Africa,active
376,5,3,2020-01-18,2020-02-01,376,2020-01-18,deposit,706.0,5,Africa,active
376,5,5,2020-01-03,2020-01-17,376,2020-01-03,deposit,706.0,5,Africa,active
188,1,3,2020-04-08,2021-12-31,188,2020-04-08,deposit,601.0,1,United States,churned
188,1,2,2020-03-29,2020-04-07,188,2020-03-29,deposit,601.0,1,United States,active
188,1,1,2020-03-09,2020-03-28,188,2020-03-09,deposit,601.0,1,United States,active
188,1,1,2020-03-01,2020-03-08,188,2020-03-01,deposit,601.0,1,United States,active
188,1,2,2020-02-16,2020-02-29,188,2020-02-16,deposit,601.0,1,United States,active
188,1,1,2020-02-08,2020-02-15,188,2020-02-08,deposit,601.0,1,United States,active
188,1,3,2020-01-13,2020-02-07,188,2020-01-13,deposit,601.0,1,United States,active
138,4,2,2020-05-16,2021-12-31,138,2020-05-16,deposit,520.0,4,Asia,churned
138,4,2,2020-04-24,2020-05-15,138,2020-04-24,deposit,520.0,4,Asia,active
138,4,2,2020-03-31,2020-04-23,138,2020-03-31,deposit,520.0,4,Asia,active
138,4,3,2020-03-09,2020-03-30,138,2020-03-09,deposit,520.0,4,Asia,active
138,4,5,2020-02-09,2020-03-08,138,2020-02-09,deposit,520.0,4,Asia,active
138,4,3,2020-01-29,2020-02-08,138,2020-01-29,deposit,520.0,4,Asia,active
138,4,4,2020-01-11,2020-01-28,138,2020-01-11,deposit,520.0,4,Asia,active
373,5,2,2020-05-10,2021-12-31,373,2020-05-10,deposit,596.0,5,Africa,churned
373,5,4,2020-04-29,2020-05-09,373,2020-04-29,deposit,596.0,5,Africa,active
